ranking_companies,unicorn,date_joined,country,city,industry,selected_investors,value,lat,lng,capital,population,id_city,year
1,Bytedance,2017-04-07,China,Beijing,Artificial Intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",140.0,39.905,116.3914,primary,19433000.0,1156228865,2017
2,SpaceX,2012-12-01,United States,Hawthorne,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",125.0,33.9146,-118.3476,,86068.0,1840020486,2012
3,SHEIN,2018-07-03,China,Shenzhen,E-commerce & direct-to-consumer,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",100.0,22.535,114.054,minor,15929000.0,1156158707,2018
4,Stripe,2014-01-23,United States,San Francisco,Fintech,"Khosla Ventures, LowercaseCapital, capitalG",95.0,37.7562,-122.443,,3592294.0,1840021543,2014
5,Klarna,2011-12-12,Sweden,Stockholm,Fintech,"Institutional Venture Partners, Sequoia Capital, General Atlantic",45.6,59.3294,18.0686,primary,972647.0,1752425602,2011
6,Canva,2018-01-08,Australia,Sydney,Internet software & services,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",40.0,-33.865,151.2094,admin,5312163.0,1036074917,2018
7,Checkout.com,2019-05-02,United Kingdom,London,Fintech,"Tiger Global Management, Insight Partners, DST Global",40.0,51.5072,-0.1275,primary,10979000.0,1826645935,2019
8,Instacart,2014-12-30,United States,San Francisco,"Supply chain, logistics, & delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",39.0,37.7562,-122.443,,3592294.0,1840021543,2014
9,Databricks,2019-02-05,United States,San Francisco,Data management & analytics,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",38.0,37.7562,-122.443,,3592294.0,1840021543,2019
10,Revolut,2018-04-26,United Kingdom,London,Fintech,"index Ventures, DST Global, Ribbit Capital",33.0,51.5072,-0.1275,primary,10979000.0,1826645935,2018
11,Epic Games,2018-10-26,United States,Cary,Other,"Tencent Holdings, KKR, Smash Ventures",31.5,35.782,-78.8191,,170282.0,1840016196,2018
12,FTX,2021-07-20,"Bahamas, The",Nassau,Fintech,"Sequoia Capital, Thoma Bravo, Softbank",32.0,25.0667,-77.3333,primary,274400.0,1044318561,2021
13,Fanatics,2012-06-06,United States,Jacksonville,E-commerce & direct-to-consumer,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",27.0,30.3322,-81.6749,,1181496.0,1840015031,2012
14,Chime,2019-03-05,United States,San Francisco,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew",25.0,37.7562,-122.443,,3592294.0,1840021543,2019
15,BYJU's,2017-07-25,India,Bangalore,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",22.0,12.9699,77.598,admin,13707000.0,1356410365,2017
16,Xiaohongshu,2016-03-31,China,Shanghai,E-commerce & direct-to-consumer,"GGV Capital, ZhenFund, Tencent",20.0,31.1667,121.4667,admin,22120000.0,1156073548,2016
17,J&T Express,2021-04-07,Indonesia,Jakarta,"Supply chain, logistics, & delivery","Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",20.0,-6.2146,106.8451,primary,34540000.0,1360771077,2021
18,Miro,2022-01-05,United States,San Francisco,Internet software & services,"Accel, AltaIR Capital, Technology Crossover Ventures",17.5,37.7562,-122.443,,3592294.0,1840021543,2022
19,Yuanfudao,2017-05-31,China,Beijing,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital",15.5,39.905,116.3914,primary,19433000.0,1156228865,2017
20,DJI Innovations,2015-01-23,China,Shenzhen,Hardware,"Accel Partners, Sequoia Capital",15.0,22.535,114.054,minor,15929000.0,1156158707,2015
21,Discord,2018-04-20,United States,San Francisco,Internet software & services,"Benchmark, Greylock Partners, Tencent Holdings",15.0,37.7562,-122.443,,3592294.0,1840021543,2018
22,goPuff,2020-10-08,United States,Philadelphia,E-commerce & direct-to-consumer,"Accel, Softbank Group, Anthos Capital",15.0,40.0077,-75.1339,,5649300.0,1840000673,2020
23,Yuanqi Senlin,2020-03-01,China,Beijing,Consumer & retail,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",15.0,39.905,116.3914,primary,19433000.0,1156228865,2020
24,Ripple,2019-12-20,United States,San Francisco,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners",15.0,37.7562,-122.443,,3592294.0,1840021543,2019
25,Blockchain.com,2021-02-17,United Kingdom,London,Fintech,"Lightspeed Venture Partners, Google Ventures, Lakestar",14.0,51.5072,-0.1275,primary,10979000.0,1826645935,2021
26,Plaid,2018-12-11,United States,San Francisco,Fintech,"New Enterprise Associates, Spar Capital, Index Ventures",13.5,37.7562,-122.443,,3592294.0,1840021543,2018
27,OpenSea,2021-07-20,United States,New York,E-commerce & direct-to-consumer,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",13.3,40.6943,-73.9249,,18713220.0,1840034016,2021
28,Grammarly,2019-10-10,United States,San Francisco,Internet software & services,"General Catalyst, Institutional Venture Partners, Breyer Capital",13.0,37.7562,-122.443,,3592294.0,1840021543,2019
29,Devoted Health,2018-10-16,United States,Waltham,Health,"Andreessen Horowitz, F-Prime Capital, Venrock",12.6,42.3889,-71.2423,,62495.0,1840000428,2018
30,Faire,2019-10-30,United States,San Francisco,Artificial Intelligence,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",12.59,37.7562,-122.443,,3592294.0,1840021543,2019
